Title,Name of BCI,Form-factor,Category of BCI,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,reality factor,neurafictionality,neuroptimism,BCI forecast,Description,Keywords,Author/Directed by,Distributed by,Production Company,Near Future,Year,Utopia/Dystopia in the media,years since publication,prediction
Push,,intenrla power,"brain washing, control of the user, manipulation, robot/object control",5-Jul-09,Movie,"dystopia, utopia",Non-invasive,0.049429658,0.080246914,1.62345679,263,"Memories manipulation, object control ","brainwash, manipulation, military",Paul McGuigan,Summit Entertainment,Icon Productions,250,2009,,13,2271
Den-noh Coil,,glasses,"XR, communication, reality",5-Jul-07,Anime,"dystopia, utopia",Non-invasive,1,0.091463415,0.091463415,15,Using brain activity to interact with the virtual world — a function hidden inside the hardware of AR visors and eyeglasses.,XR,"Masaru Yasukawa, Mitsuo Iso",NHK-E,Madhouse,0,2007,,15,2021
Come True,,helmet,"dreams, recording brain activity",5-Jul-20,Movie,"dystopia, utopia",Non-invasive,1,0.013245033,0.013245033,2,Monitoring subjects’ dreams using a brain scanning device that converts brainwaves into images.,sleep,Anthony Scott Burns,IFC Midnight,"Angel Entertainment, Copperheart Entertainment",0,2020,,2,2021
Aruvu Rezuru: Kikaijikake no Yōseitachi,,tank with water,consciousness transfer,5-Jul-11,"Anime, Novel, manga","dystopia, utopia",Non-invasive,0.042145594,0.06875,1.63125,261,"The human nervous system can be seamlessly integrated into external networks thanks to nanomachines
. People leave their bodies behind in water tanks while traversing through cyberspace. However, a crisis known as ""Early Rapture"" occurs where the system becomes overloaded, resulting in thousands of consciousnesses being lost in the network.",consciousness,Yū Yamaguchi,BOX-AiR,,250,2011,,11,2271
The Daedalus Encounter,,brain,"manipulation, robot/object control",5-Jul-95,game,"dystopia, utopia",Non-invasive,0.097472924,0.153409091,1.573863636,277,"Hero’s brain
 grafted in a life support
 system on their spaceship after he was critically injured. It can interact with the world through a small remote-controlled flying probe, which is launched from the ship. In this new form, the hero possesses the limited ability to interact with his environment, his only way to communicate being through a yes/no interface and by emitting light pulses.",communication,"Mark Giambruno, Scott Ewers","Lifelike Productions (3DO), Mechadeus (WINDOWS)",,250,1995,,27,2271
Orion’s Arm,Direct Neural Interfaces,N/A,communication,5-Jul-00,game,utopia,N/A,0.180327869,0.128654971,0.713450292,122,Direct Neural Interfaces (DNIs) are used for operating almost any system within OA.,interfacing,Alan Kazlev,Orion's Arm Universe Project Inc.,,100,2000,,22,2121
Rifts,,implant,physical enhancement,5-Jul-90,"Novel, game",dystopia,Invasive,0.615384615,0.17679558,0.287292818,52,Microchips installed into one’s brain to force higher performance and psychic abilities at the expense of sanity. People who use microchips are called Crazies.,enhancement,Kevin Siembieda,Megaversal,,20,1990,,32,2041
Serial Experiments Lain,,N/A,"XR, consciousness transfer, control of the user, manipulation, reading thoughts, reality, telepathy",5-Jul-98,Anime,"dystopia, utopia",Non-invasive,0.087591241,0.138728324,1.583815029,274,"Consciousness upload, erasing memories, communication",XR,Ryūtarō Nakamura,"Pioneer LDC, Tokyo TV",Pioneer LDC,250,1998,,24,2271
Skysurfer Strike Force,,brain,knowledge upload,5-Jul-95,Anime,"dystopia, utopia",Non-invasive,1,0.153409091,0.153409091,27,Attaching computer brain to one’s brain for increased intelligence.,"enhancement, knowledge",Katsumi Minokuchi,Bohbot Entertainment,"Ashi Productions, Ruby-Spears Enterprises",0,1995,,27,2021
Transhuman Space,Brainpeeling,software,brain transfer,5-Jul-02,game,"dystopia, utopia",N/A,0.117647059,0.118343195,1.00591716,170,"People can ""upload
"" by recording the simulation
 of their brains on computer disks
. The emulated individual then becomes a ghost, an infomorph
 very easily confused with ""sapient artificial intelligence
"". However, this technology has several problems as the solely available ""brainpeeling""
 technique is fatal to the original biological lifeform being simulated, has a significant failure rate and the philosophical questions regarding personal identity
remain equivocal. Any infomorph, regardless of its origin, can be plugged into a ""cybershell"" (robotic or cybernetic
 body), or a biological body, or ""bioshell"". Or, the individual can illegally make multiple ""xoxes"", or copies of themselves, and scatter them throughout the system, exponentially increasing
 the odds that at least one of them will live for centuries more, if not forever.",upload,David L. Pulver,,Steve Jackson Games,150,2002,,20,2171
Serenity,,N/A,"manipulation, telepathy",5-Jul-05,Movie,"dystopia, utopia",Non-invasive,0.063670412,0.102409639,1.608433735,267,Telepathic abilities as subliminal messaging to attack other people.,"manipulation, military",Joss Whedon,Universal Pictures,"Barry Mendel Productions, Universal Pictures",250,2005,,17,2271
Ringworld,Tasp,"implant, tool",emotions,5-Jul-70,Novel,dystopia,"Invasive, Non-invasive",1,0.258706468,0.258706468,52,"The tasp, a device that remotely stimulates the pleasure center of the brain; it temporarily incapacitates its target and is extremely psychologically addictive. If the subject cannot, for whatever reason, get access to the device, intense depression can result, often to the point of madness or suicide. To use a tasp on someone from hiding, relieving them of their anger or depression, is called ""making their day"".","addiction, pleasure",Larry Niven,,,0,1970,,52,2021
Mindkiller,Wireheading,implant,emotions,5-Jul-82,Novel,dystopia,Invasive,1,0.211640212,0.211640212,40,"Wireheading is the act of directly triggering the brain's reward center
 by electrical stimulation of an inserted wire, for the purpose of 'short-circuiting' the brain's normal reward process and artificially inducing pleasure. Permanent wireheading is the constant use of which overrides desires for food and drink, used for suicide.",pleasure,Spider Robinson,,,0,1982,,40,2021
Donovan’s Brain,,brain,"consciousness transfer, control of the user, manipulation, telepathy",5-Jul-22,Movie,"dystopia, utopia",Non-invasive,0,0,1.677852349,250,Keep the brain alive in an electrified saline solution. After writing messages and exhibiting the personal traits of the person who the brain belonged to - the researcher believes that consciousness still survives.,consciousness,Felix E. Feist,United Artists,Dowling Productions,250,2022,,0,2271
Captain Future,,brain,"linking, physical enhancement, robot/object control",5-Jul-40,Novel,"dystopia, utopia",Non-invasive,0.246987952,0.354978355,1.437229437,332,A brain in a vat that controls a robotic vehicle and non-human arms,robotic control,Edmond Hamilton,,,250,1940,,82,2271
Le Prince Bonaficio,,brain,resting,"July 5, 1860",Novel,"dystopia, utopia",Non-invasive,0.393203883,0.520900322,1.324758842,412,Scooping out brains with spoons and putting them in jars to promote ‘rest’.,wellbeing,Louis Ulbach,,,250,1860,,162,2271
The Whisperer in the Darkness,,brain,brain transfer,5-Jul-31,Novel,"dystopia, utopia",Non-invasive,0.26686217,0.379166667,1.420833333,341,Taking a human’s brain and putting in a cylinder where it can live indefinitely,brain transfer,H.P. Lovecraft,,,250,1931,,91,2271
The Metal Giants,,brain,"brain transfer, control of the user",5-Jul-26,Novel,"dystopia, utopia",Invasive,0.277456647,0.391836735,1.412244898,346,"An artificial brain that completely mimicked a biological brain with all of its complex patterns of electrical activity that made it conscious. Furthermore, a concept of an artificial eye is also introduced, a machine with an artificial retina that could transmit electrical pulses to this brain and allow it to see.","brain transfer, manipulation",Edmond Hamilton,,,250,1926,,96,2271
Frankenstein,,brain,"brain transfer, control of the user","July 5, 1818","Movie, Novel","dystopia, utopia",Invasive,0.449339207,0.577903683,1.28611898,454,Using a disembodied brain to control another body by wiring it to the body,"brain transfer, manipulation",Mary Shelley,,,250,1818,,204,2271
Star Trek: Strange New Worlds,Neural Dampener,helmet,brain washing,28-Jun-22,TV Series,dystopia,Non-invasive,0,0,0.033557047,5,"A neural dampener
 or neural dampening device
 was a device worn on the head ,designed to reduce electrical
 activity in the brain.",brainwash,"Eugene Roddenberry, Jenny Lumet, Trevor Roth",Paramount+,"CBS Studios, H M R X Productions, Roddenberry Entertainment, Secret Hideout, Weed Road Pictures",5,2022,,0,2026
Star Trek: Strange New Worlds,,"paste, stone",consciousness transfer,28-Jun-22,TV Series,"dystopia, utopia",Non-invasive,0,0,1.342281879,200,"Reversing katric transfer by applying ground Nivallan sea urchin (aquatic animal) paste to the foreheads
of two hosts who swiped bodies. The paste is chosen for its match to the natural electromagnetism
 of Vulcan skin. Then cortical stimulation is applied through a series of crystals placed in the paste, matching the original brain patterns of the host bodies.
","consciousness, mind-sharing","Eugene Roddenberry, Jenny Lumet, Trevor Roth",Paramount+,"CBS Studios, H M R X Productions, Roddenberry Entertainment, Secret Hideout, Weed Road Pictures",200,2022,,0,2221
