Title,Form-factor,Category of BCI,reality factor,neurafictionality,neuroptimism,BCI forecast,Near Future,prediction,,Name of BCI,Image,Cover,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,Description,Keywords,Author/Directed by,Distributed by,Production Company,Link,Publisher (Novels/Games),Quotes,Notes,Year,Utopia/Dystopia in the media,years since publication,RF: advertisement,RF: communication,RF: consciousness,RF: control of the user,RF: dreams,RF: emotions,RF: knowledge upload,RF: linking,RF: memory,RF: perception,RF: practical,RF: reading thoughts,RF: reality,RF: recording brain activity,RF: rehabilitation,RF: robot/object control,RF: sensation,RF: stimulation,RF: storage,RF: telepathy,RF: termination,RF: tracking,RF: transfer,prediction,BCIF: communication,NF: communication,TO: communication,reality factor check,,,,,,,,,,,,,,Category,reality factor,neurafictionality,neuro-optimism,BCI forecast,,Total Works
Push,"N/A, internal power","brain washing, control of the user, manipulation, robot/object control",0.049429658,0.080246914,1.62345679,263,250,2271,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Pushposter08.jpg,5-Jul-09,Movie,"dystopia, utopia",Non-invasive,"Memories manipulation, object control ","brainwash, manipulation, military",Paul McGuigan,Summit Entertainment,Icon Productions,https://en.wikipedia.org/wiki/Push_(2009_film),,,,2009,,13,,0.049429658,,0.049429658,,,,,,0.049429658,,,,,,0.049429658,0.049429658,,,,,,,2271,263,0.080246914,1.62345679,0.049429658,,,,,,,,,,,,,,Communication,0.349822563,0.155164165,0.60599758,108.8865979,,194
Den-noh Coil,glasses,"XR, communication, reality",1,0.091463415,0.091463415,15,0,2021,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Dennou-yuuko-megane.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Denno_Coil_vol_1_DVD.jpg,5-Jul-07,Anime,"dystopia, utopia",Non-invasive,Using brain activity to interact with the virtual world — a function hidden inside the hardware of AR visors and eyeglasses.,XR,"Masaru Yasukawa, Mitsuo Iso",NHK-E,Madhouse,https://en.wikipedia.org/wiki/Den-noh_Coil,,,,2007,,15,,1,,,,,,,,1,,,1,,,,,,,,,,,2021,15,0.091463415,0.091463415,1,,,,,,,,,,,,,,Linking,0.292945442,0.135747293,0.557524355,98.84931507,,73
Come True,helmet,"dreams, recording brain activity",1,0.013245033,0.013245033,2,0,2021,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-07-05_at_6.04.53_PM.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-07-05_at_6.05.08_PM.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-07-05_at_6.05.39_PM.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-07-05_at_6.06.02_PM.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-07-05_at_6.06.16_PM.jpeg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Come_True_(2020)_poster.jpg,5-Jul-20,Movie,"dystopia, utopia",Non-invasive,Monitoring subjects’ dreams using a brain scanning device that converts brainwaves into images.,sleep,Anthony Scott Burns,IFC Midnight,"Angel Entertainment, Copperheart Entertainment",https://en.wikipedia.org/wiki/Come_True,,,,2020,,2,,,1,,1,,,,,,1,,,1,,,,,,,,,,2021,,,,1,,,,,,,,,,,,,,Robot control,0.487525883,0.145832756,0.568346163,101.2903226,,31
Aruvu Rezuru: Kikaijikake no Yōseitachi,tank with water,consciousness transfer,0.042145594,0.06875,1.63125,261,250,2271,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Aruvu_Rezuru_Kikaijikake_no_Yoseitachi_Volume_1_cover.jpg,5-Jul-11,"Anime, Novel, manga","dystopia, utopia",Non-invasive,"The human nervous system can be seamlessly integrated into external networks thanks to nanomachines
. People leave their bodies behind in water tanks while traversing through cyberspace. However, a crisis known as ""Early Rapture"" occurs where the system becomes overloaded, resulting in thousands of consciousnesses being lost in the network.",consciousness,Yū Yamaguchi,BOX-AiR,,https://en.wikipedia.org/wiki/Aruvu_Rezuru:_Kikaijikake_no_Y%C5%8Dseitachi,Kodansha,,,2011,,11,,,0.042145594,,,,,,,,,,,,,,,,,,,,0.042145594,2271,,,,0.042145594,,,,,,,,,,,,,,Telepathy,0.304392015,0.174535028,0.751732592,135.7,,30
The Daedalus Encounter,brain,"manipulation, robot/object control",0.097472924,0.153409091,1.573863636,277,250,2271,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/003.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/002.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Daedalus_Encounter.jpg,5-Jul-95,game,"dystopia, utopia",Non-invasive,"Hero’s brain
 grafted in a life support
 system on their spaceship after he was critically injured. It can interact with the world through a small remote-controlled flying probe, which is launched from the ship. In this new form, the hero possesses the limited ability to interact with his environment, his only way to communicate being through a yes/no interface and by emitting light pulses.",communication,"Mark Giambruno, Scott Ewers","Lifelike Productions (3DO), Mechadeus (WINDOWS)",,https://en.wikipedia.org/wiki/The_Daedalus_Encounter,"Panasonic (3DO), Virgin Interactive Entertainment (WINDOWS)",,,1995,,27,,0.097472924,,,,,,,,0.097472924,,,,,,0.097472924,0.097472924,,,,,,,2271,277,0.153409091,1.573863636,0.097472924,,,,,,,,,,,,,,Reading thoughts,0.37059162,0.173923823,0.611559063,111.6166667,,60
Orion’s Arm,N/A,communication,0.180327869,0.128654971,0.713450292,122,100,2121,,Direct Neural Interfaces,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/oa_2_7290.jpeg,5-Jul-00,game,utopia,N/A,Direct Neural Interfaces (DNIs) are used for operating almost any system within OA.,interfacing,Alan Kazlev,Orion's Arm Universe Project Inc.,,https://en.wikipedia.org/wiki/Orion%27s_Arm,,,,2000,,22,,0.180327869,,,,,,,,,,,,,,,,,,,,,,2121,122,0.128654971,0.713450292,0.180327869,,,,,,,,,,,,,,Perception (PCP),0.288917443,0.139198606,0.623628639,111.0434783,,299
Rifts,implant,physical enhancement,0.615384615,0.17679558,0.287292818,52,20,2041,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Rifts_RPG_Ultimate_Edition_2005.jpg,5-Jul-90,"Novel, game",dystopia,Invasive,Microchips installed into one’s brain to force higher performance and psychic abilities at the expense of sanity. People who use microchips are called Crazies.,enhancement,Kevin Siembieda,Megaversal,,https://en.wikipedia.org/wiki/Rifts_(role-playing_game),Palladium Books,,,1990,,32,,,,,,,,,,,,,,,,,,,,,,,,2041,,,,0.615384615,,,,,,,,,,,,,,Control of the user,0.272765998,0.141905094,0.688890135,125.2037037,,54
Serial Experiments Lain,N/A,"XR, consciousness transfer, control of the user, manipulation, reading thoughts, reality, telepathy",0.087591241,0.138728324,1.583815029,274,250,2271,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Serial_Experiments_Lain_DVD_vol_1.jpg,5-Jul-98,Anime,"dystopia, utopia",Non-invasive,"Consciousness upload, erasing memories, communication",XR,Ryūtarō Nakamura,"Pioneer LDC, Tokyo TV",Pioneer LDC,https://en.wikipedia.org/wiki/Rise_2:_Resurrection,,,,1998,,24,,0.087591241,0.087591241,0.087591241,,,,,,0.087591241,,0.087591241,0.087591241,,,,0.087591241,,,0.087591241,,,0.087591241,2271,274,0.138728324,1.583815029,0.087591241,,,,,,,,,,,,,,Emotions,0.371680891,0.136408602,0.44075552,79.32258065,,31
Skysurfer Strike Force,brain,knowledge upload,1,0.153409091,0.153409091,27,0,2021,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/cybron-and-his-daughter-celina.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/hqdefault.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/tumblr_inline_pdux9jF63x1rupio6_540.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BOTk4ZTA0ZjQtZGY3MC00NmVlLTllNmUtZjJmMTUzMDRhMjVlXkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_.jpg,5-Jul-95,Anime,"dystopia, utopia",Non-invasive,Attaching computer brain to one’s brain for increased intelligence.,"enhancement, knowledge",Katsumi Minokuchi,Bohbot Entertainment,"Ashi Productions, Ruby-Spears Enterprises",https://en.wikipedia.org/wiki/Skysurfer_Strike_Force,,,fun form-factor,1995,,27,,,,,,,1,,,1,,,,,,,,,,,,,,2021,,,,1,,,,,,,,,,,,,,Memory,0.179566357,0.112567786,0.725564155,122.8311688,,77
Transhuman Space,software,brain transfer,0.117647059,0.118343195,1.00591716,170,150,2171,,Brainpeeling,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/cover_lg.jpg,5-Jul-02,game,"dystopia, utopia",N/A,"People can ""upload
"" by recording the simulation
 of their brains on computer disks
. The emulated individual then becomes a ghost, an infomorph
 very easily confused with ""sapient artificial intelligence
"". However, this technology has several problems as the solely available ""brainpeeling""
 technique is fatal to the original biological lifeform being simulated, has a significant failure rate and the philosophical questions regarding personal identity
remain equivocal. Any infomorph, regardless of its origin, can be plugged into a ""cybershell"" (robotic or cybernetic
 body), or a biological body, or ""bioshell"". Or, the individual can illegally make multiple ""xoxes"", or copies of themselves, and scatter them throughout the system, exponentially increasing
 the odds that at least one of them will live for centuries more, if not forever.",upload,David L. Pulver,,Steve Jackson Games,https://en.wikipedia.org/wiki/Transhuman_Space,,,,2002,,20,,,0.117647059,,,,,,,,,,,,,,,,,,,,0.117647059,2171,,,,0.117647059,,,,,,,,,,,,,,Stimulation,0.473691531,0.199073579,0.479753122,96.74074074,,54
